Start: Fri Nov 22 23:54:15 CST 2019
Threads:  2 | Map Partitions: 256 | "Elapsed time: 23678.4109 msecs"
Threads:  4 | Map Partitions: 256 | "Elapsed time: 15464.7888 msecs"
Threads:  8 | Map Partitions: 256 | "Elapsed time: 10052.0302 msecs"
Threads: 16 | Map Partitions: 256 | "Elapsed time: 8740.4694 msecs"
Threads: 20 | Map Partitions: 256 | "Elapsed time: 8208.1828 msecs"
Threads: 32 | Map Partitions: 256 | "Elapsed time: 8181.1365 msecs"
Threads: 64 | Map Partitions: 256 | "Elapsed time: 8745.9451 msecs"
Threads:  1 | Map Partitions: 512 | "Elapsed time: 59971.5328 msecs"
Threads:  2 | Map Partitions: 512 | "Elapsed time: 26955.1629 msecs"
Threads:  4 | Map Partitions: 512 | "Elapsed time: 17186.406 msecs"
Threads:  8 | Map Partitions: 512 | "Elapsed time: 11170.3456 msecs"
Threads: 16 | Map Partitions: 512 | "Elapsed time: 9809.7163 msecs"
Threads: 20 | Map Partitions: 512 | "Elapsed time: 9565.4546 msecs"
Threads: 32 | Map Partitions: 512 | "Elapsed time: 9271.4707 msecs"
Threads: 64 | Map Partitions: 512 | "Elapsed time: 9539.6507 msecs"
Threads:  1 | Map Partitions: 1024 | "Elapsed time: 64543.275 msecs"
Threads:  2 | Map Partitions: 1024 | "Elapsed time: 31788.872 msecs"
Threads:  4 | Map Partitions: 1024 | "Elapsed time: 20561.1291 msecs"
Threads:  8 | Map Partitions: 1024 | "Elapsed time: 13281.8867 msecs"
Threads: 16 | Map Partitions: 1024 | "Elapsed time: 11471.3139 msecs"
Threads: 20 | Map Partitions: 1024 | "Elapsed time: 10888.7674 msecs"
